"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"133",80130776,"Tables & desks",45,TRUE,"Yes",39,70,60
"134",360484,"Beds",695,TRUE,"No",NA,2,83
"135",29277639,"Beds",9585,TRUE,"Yes",164,102,387
"136",70443626,"Cabinets & cupboards",100,TRUE,"Yes",NA,38,60
"137",90146456,"Children's furniture",275,TRUE,"No",45,77,41
"138",50415196,"Cabinets & cupboards",695,TRUE,"Yes",47,89,81
"139",90222407,"Tables & desks",945,TRUE,"No",NA,74,87
"140",30236025,"Tables & desks",175,TRUE,"No",40,53,45
"141",90443135,"Room dividers",189,TRUE,"Yes",NA,78,45
"142",19277036,"Tables & desks",4145,TRUE,"No",NA,74,100
"143",29296690,"Tables & desks",6180,TRUE,"Yes",NA,73,140
"144",40330862,"Tables & desks",225,TRUE,"No",NA,74,NA
"145",60333850,"Bookcases & shelving units",495,TRUE,"No",NA,88,55
"146",19166180,"Beds",1445,TRUE,"Yes",100,87,142
"147",40296311,"Cabinets & cupboards",125,TRUE,"Yes",NA,38,60
"148",80360951,"Sideboards, buffets & console tables",1495,TRUE,"No",45,140,120
"149",382594,"Sofas & armchairs",360,TRUE,"Yes",NA,NA,NA
"150",29223830,"Tables & desks",775,TRUE,"No",NA,85,75
"151",29221256,"Chairs",579,TRUE,"No",NA,72,75
"152",40348895,"Cabinets & cupboards",70,TRUE,"No",NA,NA,25
"153",80155205,"Bar furniture",69,TRUE,"Yes",50,100,60
"154",59315159,"Wardrobes",2397,TRUE,"No",51,NA,258
"155",20307037,"Tables & desks",795,TRUE,"No",54,93,82
"156",10441569,"TV & media furniture",210,TRUE,"No",NA,64,60
"157",99257176,"Sofas & armchairs",4495,TRUE,"Yes",164,102,279
"158",49127917,"Wardrobes",3875,TRUE,"No",66,236,200
"159",29277724,"Beds",4320,TRUE,"Yes",113,84,186
"160",20045205,"Nursery furniture",145,TRUE,"No",NA,87,53
"161",70245339,"Tables & desks",895,TRUE,"No",40,74,120
"162",29297232,"Chairs",1636,TRUE,"No",NA,NA,74
"163",19240892,"Nursery furniture",245,TRUE,"Yes",30,91,44
"164",39257457,"Sofas & armchairs",5040,TRUE,"Yes",98,102,275
"165",29278262,"Bookcases & shelving units",745,TRUE,"Yes",39,147,112
"166",60323592,"TV & media furniture",15,TRUE,"No",NA,NA,NA
"167",49192663,"Sofas & armchairs",596,TRUE,"Yes",NA,51,84
"168",89254786,"Sofas & armchairs",2195,TRUE,"Yes",98,104,247
"169",50434185,"Bookcases & shelving units",20,TRUE,"No",NA,84,4
"170",80247371,"Bookcases & shelving units",225,TRUE,"Yes",40,192,60
"171",10309616,"Beds",30,TRUE,"No",NA,NA,NA
"172",49248858,"Cabinets & cupboards",841,TRUE,"No",35,95,130
"173",60397998,"Sofas & armchairs",300,TRUE,"No",93,68,18
"174",39305707,"Wardrobes",3162,TRUE,"No",66,236,150
"175",90417909,"Outdoor furniture",49,TRUE,"Yes",50,NA,50
"176",19305567,"Sofas & armchairs",2995,TRUE,"Yes",NA,83,NA
"177",29304765,"Tables & desks",3345,TRUE,"No",NA,NA,105
"178",70359986,"Tables & desks",395,TRUE,"No",42,45,70
"179",90311069,"Bookcases & shelving units",15,TRUE,"No",NA,18,30
"180",29299165,"Cabinets & cupboards",925,TRUE,"Yes",42,38,180
"181",19268763,"Beds",1725,TRUE,"No",NA,182,NA
"182",9303960,"Bookcases & shelving units",1035,TRUE,"No",40,110,254
"183",70265247,"Bookcases & shelving units",17,TRUE,"No",28,NA,9
"184",80382321,"Children's furniture",59,TRUE,"No",36,67,39
"185",49194681,"Cabinets & cupboards",3340,TRUE,"Yes",40,230,300
"186",80414256,"Cabinets & cupboards",100,TRUE,"No",NA,NA,NA
"187",20295925,"Tables & desks",199,TRUE,"No",NA,45,64
"188",50434312,"Chairs",395,TRUE,"No",57,82,57
"189",60423105,"Tables & desks",595,TRUE,"No",NA,75,78
"190",39297123,"Tables & desks",2075,TRUE,"No",NA,NA,78
"191",50304990,"Tables & desks",325,TRUE,"No",73,73,120
"192",50342478,"TV & media furniture",50,FALSE,"No",18,NA,24
"193",89020472,"Bookcases & shelving units",915,TRUE,"Yes",28,237,120
"194",10233532,"Chairs",175,TRUE,"Yes",75,75,64
"195",70279447,"Tables & desks",595,TRUE,"No",NA,70,72
"196",99305158,"Tables & desks",2875,TRUE,"No",NA,NA,95
"197",40413131,"Outdoor furniture",175,TRUE,"No",56,86,42
"198",59158121,"Wardrobes",519,TRUE,"No",55,216,44
"199",40173065,"Tables & desks",245,TRUE,"No",NA,60,40
"200",40405876,"Sofas & armchairs",2320,TRUE,"No",164,95,90
"201",29275715,"Bookcases & shelving units",2150,TRUE,"No",NA,NA,NA
"202",69221297,"Chairs",1975,TRUE,"No",NA,NA,NA
"203",9297488,"Chests of drawers & drawer units",230,TRUE,"No",51,104,50
"204",39239835,"Chests of drawers & drawer units",460,TRUE,"Yes",47,76,40
"205",10122647,"Bar furniture",345,TRUE,"No",45,91,40
"206",30255325,"Tables & desks",725,TRUE,"Yes",NA,NA,60
"207",60400745,"Café furniture",475,TRUE,"No",40,NA,40
"208",50386245,"Tables & desks",2295,TRUE,"No",NA,75,85
"209",99304578,"Wardrobes",1796,TRUE,"No",57,241,300
"210",59276228,"Trolleys",2295,TRUE,"No",79,90,126
"211",9276853,"Sofas & armchairs",5796,TRUE,"Yes",NA,84,346
"212",89252688,"Chests of drawers & drawer units",545,TRUE,"Yes",50,128,60
"213",50404824,"Chairs",745,TRUE,"No",50,77,49
"214",80259514,"Outdoor furniture",177,TRUE,"No",NA,71,74
"215",50348668,"Chairs",195,TRUE,"No",NA,56,35
"216",19338054,"Children's furniture",245,FALSE,"Yes",30,91,44
"217",248567,"Nursery furniture",695,TRUE,"No",NA,85,67
"218",79266110,"Wardrobes",1225,TRUE,"Yes",50,192,150
"219",99239494,"Chests of drawers & drawer units",500,TRUE,"Yes",47,54,80
"220",79189150,"Bookcases & shelving units",1044,TRUE,"Yes",35,210,175
"221",10363632,"Cabinets & cupboards",50,TRUE,"No",2,29,45
"222",69297249,"Chairs",1085,TRUE,"No",NA,NA,74
"223",80369112,"Bar furniture",275,FALSE,"No",47,101,40
"224",60428344,"Tables & desks",101.5,TRUE,"No",NA,50,32
"225",50463502,"Chairs",50,TRUE,"No",NA,NA,NA
"226",89017827,"Bookcases & shelving units",795,TRUE,"Yes",28,237,200
"227",59286072,"Wardrobes",1690,TRUE,"Yes",60,236,150
"228",80295300,"TV & media furniture",100,TRUE,"Yes",40,NA,120
"229",30269129,"Cabinets & cupboards",1195,TRUE,"No",41,49,180
"230",39017486,"Bookcases & shelving units",695,TRUE,"Yes",39,147,147
"231",49203355,"Bookcases & shelving units",2534.5,TRUE,"Yes",40,230,240
"232",69304829,"Sofas & armchairs",1092,TRUE,"No",NA,NA,80
"233",29330811,"Tables & desks",175,TRUE,"Yes",NA,74,60
"234",59265705,"Wardrobes",8380,TRUE,"No",NA,236,310
"235",50211104,"Chairs",549,TRUE,"No",NA,NA,NA
"236",40390766,"TV & media furniture",45.5,TRUE,"No",38,10,NA
"237",79306875,"Bookcases & shelving units",250,TRUE,"Yes",35,72,70
