"category","price","sellable_online","other_colors","depth","height","width"
"Cabinets & cupboards",1,"TRUE","Yes",47,212,242
"Chairs",0,"TRUE","No",50,87,53
"TV & media furniture",0,"TRUE","No",34,50.5,60
"Tables & desks",0,"TRUE","No",48.5,40,59
"Nursery furniture",0,"TRUE","Yes",79,102,90
"Tables & desks",1,"TRUE","No",48.5,74,87
"Outdoor furniture",0,"TRUE","No",67.5,73,90
"Cabinets & cupboards",0,"TRUE","No",38,92,111.5
"Beds",0,"TRUE","No",85,78,128
"Children's furniture",0,"TRUE","Yes",30,145,46
"Nursery furniture",0,"TRUE","No",30,10,30
"Cabinets & cupboards",0,"TRUE","Yes",38,64,60
"Outdoor furniture",0,"TRUE","No",50,73,50
"Beds",1,"TRUE","No",98,102,208
"Tables & desks",1,"TRUE","No",48.5,74,85
"Cabinets & cupboards",1,"TRUE","Yes",45,160,160
"Children's furniture",0,"TRUE","No",44.5,48,45
"Tables & desks",1,"TRUE","No",48.5,74,78
"Sofas & armchairs",0,"TRUE","Yes",25,33,211.5
"Beds",0,"TRUE","No",97.5,116,99
"Sofas & armchairs",0,"TRUE","No",72,72,149
"Tables & desks",1,"TRUE","No",48.5,74,78
"Tables & desks",1,"TRUE","Yes",80,74,75
"Chairs",0,"TRUE","No",51.5,78.5,120
"Bookcases & shelving units",0,"TRUE","No",25,147,61
"Wardrobes",0,"TRUE","No",47,123,120
"Sofas & armchairs",1,"TRUE","No",94,90,179
"Cabinets & cupboards",1,"TRUE","Yes",37,197,188
"TV & media furniture",0,"TRUE","Yes",30,50.5,22
"Sofas & armchairs",1,"TRUE","Yes",88,88,218
"Bookcases & shelving units",0,"TRUE","Yes",36,192,40
"Chairs",0,"TRUE","No",50,45,50
"Tables & desks",0,"TRUE","No",48.5,71,78
"Cabinets & cupboards",0,"TRUE","Yes",38,26,60
"Sofas & armchairs",1,"TRUE","No",81,81,176
"Bookcases & shelving units",0,"TRUE","No",50,171,230
"Tables & desks",1,"TRUE","No",48.5,74,100
"Tables & desks",0,"TRUE","Yes",48.5,74,75
"Wardrobes",1,"TRUE","No",44,236,200
"Chairs",1,"TRUE","No",51.5,78.5,80
"Bookcases & shelving units",0,"TRUE","No",39,42,77
"Trolleys",0,"TRUE","No",79,90,43
"Outdoor furniture",0,"TRUE","No",67.5,73,80
"Bookcases & shelving units",0,"TRUE","Yes",36,26,60
"Outdoor furniture",0,"TRUE","No",67.5,40,60
"Children's furniture",0,"TRUE","Yes",44,56,99
"Outdoor furniture",0,"TRUE","No",67.5,72,140
"Tables & desks",1,"TRUE","No",48.5,74,160
"Tables & desks",0,"TRUE","No",48.5,74,67
"Cabinets & cupboards",1,"TRUE","Yes",22,202,60
"Children's furniture",0,"TRUE","No",44.5,36,30
"Bookcases & shelving units",0,"TRUE","Yes",35,70,70
"Tables & desks",0,"TRUE","Yes",48.5,73,75
"Chests of drawers & drawer units",0,"TRUE","No",47,99,80
"Sofas & armchairs",1,"TRUE","Yes",98,83,349
"Beds",1,"TRUE","Yes",164,104,252
"Outdoor furniture",1,"TRUE","Yes",67.5,73,71
"Chairs",1,"TRUE","Yes",68,78.5,68
"Nursery furniture",0,"TRUE","No",30,94,46
"Bookcases & shelving units",1,"TRUE","No",50,179,179
"Wardrobes",1,"TRUE","No",66,236,150
"Tables & desks",0,"TRUE","No",48.5,75,74
"Tables & desks",1,"TRUE","Yes",48.5,73,70
"Sofas & armchairs",1,"TRUE","Yes",98,83,235
"Tables & desks",0,"TRUE","No",48.5,74,60
"Chairs",1,"TRUE","Yes",158,78,78
"Bookcases & shelving units",0,"TRUE","No",41,197,176
"Sofas & armchairs",0,"TRUE","Yes",94,97,85
"Tables & desks",1,"TRUE","No",48.5,75,78
"Wardrobes",0,"TRUE","No",37,130,99
"Sofas & armchairs",1,"TRUE","Yes",164,83,81
"Sofas & armchairs",1,"TRUE","Yes",98,83,227
"Outdoor furniture",0,"TRUE","No",92,71,74
"Bookcases & shelving units",0,"TRUE","No",41,199,132
"Tables & desks",0,"TRUE","No",48.5,73,75
"Beds",1,"TRUE","No",97.5,99,164
"Cabinets & cupboards",1,"TRUE","Yes",45,101,41
"Tables & desks",0,"TRUE","No",48.5,45,55
"Tables & desks",0,"TRUE","Yes",48.5,74,60
"Cabinets & cupboards",1,"TRUE","Yes",45,101,61
"Sofas & armchairs",0,"TRUE","No",98,84,40
"Children's furniture",0,"TRUE","No",53,77,53
"Tables & desks",0,"TRUE","No",48.5,72,75
"Chairs",1,"TRUE","No",51.5,78.5,90
"Beds",1,"TRUE","No",40,43,140
"Sofas & armchairs",1,"TRUE","Yes",93,84,273
"Wardrobes",1,"TRUE","Yes",60,201,100
"Chairs",1,"TRUE","Yes",93,84,113
"Nursery furniture",0,"TRUE","No",30,87,30
"Sofas & armchairs",1,"TRUE","Yes",98,104,177
"Sofas & armchairs",1,"TRUE","No",151,83,186
"TV & media furniture",1,"TRUE","No",42,241,320
"Children's furniture",1,"TRUE","No",50,171,80
"TV & media furniture",0,"TRUE","Yes",30,50.5,17
"Chairs",0,"TRUE","No",51,83,47
"TV & media furniture",0,"TRUE","No",18,50.5,60
"Chairs",0,"TRUE","No",51.5,75,74
"Children's furniture",0,"TRUE","No",44.5,77,30
"Chairs",1,"TRUE","No",51.5,78.5,78
"Room dividers",0,"TRUE","Yes",39,147,147
"Wardrobes",1,"TRUE","No",60,236,200
"Wardrobes",0,"TRUE","No",50,187,80
"Wardrobes",0,"TRUE","Yes",60,236,100
"Cabinets & cupboards",0,"TRUE","Yes",42,74,120
"Bookcases & shelving units",0,"TRUE","No",36,181,92
"Bookcases & shelving units",1,"TRUE","Yes",40,220,210
"Chairs",1,"TRUE","No",51.5,78.5,85
"Bookcases & shelving units",0,"TRUE","Yes",51,70,50
"TV & media furniture",0,"TRUE","No",38,64,60
"Outdoor furniture",0,"TRUE","No",60,82,56
"Chests of drawers & drawer units",0,"TRUE","No",51,73,50
"Wardrobes",1,"TRUE","No",44,236,150
"Beds",0,"TRUE","Yes",97.5,4,80
"Chairs",0,"TRUE","No",50,45,52
"Sofas & armchairs",0,"TRUE","Yes",97,95,71
"Beds",1,"TRUE","Yes",164,104,277
"Cabinets & cupboards",0,"TRUE","Yes",30,202,120
"Wardrobes",1,"TRUE","No",66,236,200
"TV & media furniture",0,"TRUE","No",38,50.5,60
"Chairs",0,"TRUE","No",40,78.5,40
"Tables & desks",0,"TRUE","No",48.5,72,75
"Cabinets & cupboards",1,"TRUE","Yes",47,212,243
"Bookcases & shelving units",0,"TRUE","No",30,83,80
"TV & media furniture",1,"TRUE","No",42,131,300
"Sofas & armchairs",1,"TRUE","No",94,90,164
"Beds",1,"TRUE","Yes",97.5,84,104
"Tables & desks",1,"TRUE","No",48.5,75,78
"Sofas & armchairs",1,"TRUE","Yes",84,84,149
"Sofas & armchairs",1,"TRUE","Yes",98,104,322
"Sideboards, buffets & console tables",1,"TRUE","Yes",37,134,121
"Beds",0,"TRUE","Yes",97.5,84,147
"Bookcases & shelving units",0,"TRUE","Yes",42,48,120
"Chairs",0,"TRUE","No",53,90,50
"Chairs",0,"TRUE","Yes",67,78.5,67
"Chairs",1,"TRUE","Yes",89,78,89
"Tables & desks",0,"TRUE","No",48.5,75,78
"Tables & desks",0,"TRUE","Yes",48.5,74,75
"Bookcases & shelving units",1,"TRUE","No",35,176,193
"Tables & desks",1,"TRUE","No",48.5,74,74
"Outdoor furniture",0,"TRUE","No",44,73,44
"Sofas & armchairs",1,"TRUE","Yes",98,83,160
"Children's furniture",0,"TRUE","No",44.5,77,39
"Tables & desks",0,"TRUE","Yes",48.5,74,75
"Bookcases & shelving units",0,"TRUE","Yes",30,237,40
"Tables & desks",0,"TRUE","No",48.5,74,48
"Tables & desks",0,"TRUE","No",48.5,75,90
"Sofas & armchairs",0,"TRUE","No",98,18,211.5
"Beds",1,"TRUE","No",40,43,140
"Sofas & armchairs",1,"TRUE","Yes",112,72,228
"Chairs",0,"TRUE","Yes",50,50,90
"Cabinets & cupboards",0,"TRUE","No",25,92,111.5
"TV & media furniture",0,"TRUE","No",4,10,4
"Bookcases & shelving units",0,"TRUE","Yes",36,147,2
"Chairs",0,"TRUE","No",55,81,49
"Children's furniture",0,"TRUE","Yes",58,77,128
"TV & media furniture",0,"TRUE","No",38,10,60
"Tables & desks",1,"TRUE","Yes",45,101,41
"Tables & desks",0,"FALSE","No",48.5,75,70
